"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"2",2,10010165,0.429,0,0.429,1.333,0.269,0.25,3.167,0.75
"3",3,10010166,0,0.5,1,0,0.333,0.24,1.6,0.76
"4",4,10010167,0,0,1,1,0.375,0.358,2.5,0.642
"5",5,10010168,0.167,0.545,0.917,0.455,0.308,0.361,1.8,0.63
"6",6,10010169,0,0.333,0.75,0.667,0.444,0.321,1.667,0.679
"7",7,10010170,0,0.588,1,0.471,0.567,0.349,1.2,0.64
"8",8,10010171,0.25,0.429,0.875,0.429,0.364,0.247,2.8,0.753
"9",9,10010172,0,0,0,0,0,0.5,5,0.5
"10",10,10010173,0.062,0.355,0.969,0.645,0.4,0.455,1.333,0.551
"11",11,10010174,0.211,0.875,0.842,0.125,0.422,0.251,1.471,0.754
"12",12,10010175,0.143,0.167,0.857,0.833,0.304,0.365,1.6,0.63
"13",13,10010176,0.222,1,0.667,0.333,0.346,0.317,2.571,0.683
"14",14,10010180,0.231,0.5,0.769,0.5,0.5,0.26,0.684,0.73
"15",15,10010181,0,0.5,1,0.625,0.4,0.267,3,0.733
"16",16,10010182,0,0.75,1.333,0,0.143,0.318,4.25,0.682
"17",17,10010187,0,0.4,1.25,0.6,0.133,0.217,2.273,0.775
"18",18,10010191,0,0.25,0.889,0.75,0.187,0.4,2.437,0.6
"19",19,10010192,0,0,0,0,0,0.152,2.5,0.833
"20",20,10010193,0,0.667,1,0.667,0.167,0.222,1.875,0.79
"21",21,10010194,0,0.333,1.2,0.667,0.294,0.354,1.375,0.646
"22",22,10010195,0.087,0.667,0.913,0.286,0.426,0.466,1.409,0.526
"23",23,10010196,0.556,0.667,0.333,0.667,0.375,0.25,2.333,0.76
"24",24,10010198,0,0.5,0.857,0.5,0.412,0.233,2,0.753
"25",25,10010199,0.818,1,0.182,1,0.733,0.349,0.714,0.628
"26",26,10010200,0.4,0.667,0.6,0.667,0.417,0.182,3.5,0.818
"27",27,10010201,0,0.625,1.143,0.375,0.25,0.315,1.909,0.685
"28",28,10010202,0.5,0.5,0.5,0.5,0.333,0.255,1.071,0.755
"29",29,10010203,0,1,1,0,0.25,0.127,1.75,0.841
"30",30,10010204,0.111,0.375,0.889,0.625,0.36,0.459,1.455,0.532
"31",31,10010206,0.154,0.273,0.846,0.682,0.351,0.51,1.621,0.49
"32",32,10010207,0.069,0.222,0.931,0.778,0.309,0.372,1.275,0.632
"33",33,10010208,0.055,0.358,0.964,0.642,0.399,0.478,1.339,0.522
"34",34,10010209,0.167,0.5,0.833,0.5,0.429,0.283,2,0.717
"35",35,10010210,0,0.286,1,0.857,0.333,0.239,2.143,0.75
"36",36,10010211,0,0.692,1,0.231,0.228,0.396,1.63,0.597
"37",37,10010212,0.222,0.643,0.778,0.429,0.429,0.452,2.3,0.538
"38",38,10010213,0.273,0.5,0.727,0.5,0.275,0.308,1.611,0.685
"39",39,10010214,0.586,0.5,0.414,0.583,0.63,0.648,0.895,0.366
"40",40,10010215,0,0.286,1.167,0.571,0.231,0.371,1.727,0.614
"41",41,10010216,0.375,0.4,0.625,0.6,0.308,0.473,1.889,0.527
"42",42,10010217,0,0.75,1,0.25,0.471,0.333,1.125,0.667
"43",43,10010218,0.4,0.8,0.5,0.4,0.312,0.471,2.333,0.544
"44",44,10010219,0,0.6,1,0.4,0.125,0.328,1.667,0.68
"45",45,10010220,0,0,0.75,0.667,0.222,0.281,3,0.719
"46",46,10010221,0.25,1,0.75,0.333,0.258,0.307,2.556,0.693
"47",47,10010222,0.077,0.625,0.923,0.333,0.531,0.454,0.815,0.546
"48",48,10010223,0.437,0.222,0.562,0.778,0.308,0.491,2.056,0.519
"49",49,10010224,0,0.273,1,0.636,0.306,0.387,1.333,0.613
"50",50,10010225,0,0.667,1,0.667,0.231,0.289,2,0.689
"51",51,10010226,0,0.429,0.875,0.571,0.211,0.388,3.2,0.602
"52",52,10010227,0,0.7,1,0.2,0.286,0.449,1,0.551
"53",53,10010228,0,0.714,1,0.286,0.2,0.402,2.455,0.598
"54",54,10010229,0.321,0.722,0.643,0.278,0.609,0.535,0.95,0.453
"55",55,10010230,0.353,0.727,0.647,0.273,0.309,0.539,1.48,0.461
"56",56,10010231,0.45,0.833,0.6,0,0.339,0.573,1.345,0.427
"57",57,10010232,0.577,0.7,0.385,0.4,0.565,0.523,0.69,0.466
"58",58,10010233,0.824,0.75,0.235,0,0.515,0.44,1,0.56
"59",59,10010234,0.481,0.533,0.556,0.4,0.54,0.532,0.917,0.468
"60",60,10010235,0.154,0.455,0.846,0.545,0.5,0.456,1.444,0.561
"61",61,10010236,0.478,0.727,0.478,0.364,0.489,0.505,1.091,0.484
"62",62,10010237,0.706,0.5,0.294,0.5,0.576,0.67,0.641,0.33
"63",63,10010238,0.571,0.182,0.524,0.727,0.583,0.434,1.167,0.566
"64",64,10010239,0.467,0.562,0.533,0.437,0.545,0.524,1.091,0.476
"65",65,10010240,0.638,0.524,0.362,0.524,0.637,0.655,0.791,0.338
"66",66,10010241,0.519,0.154,0.481,0.923,0.5,0.593,1,0.407
"67",67,10010242,0.2,0.588,0.85,0.412,0.29,0.543,1.581,0.457
"68",68,10010243,0.154,0.341,0.846,0.659,0.531,0.645,1.154,0.368
"69",69,10010244,0.393,0.167,0.643,0.778,0.4,0.538,1.2,0.469
"70",70,10010245,0.154,0.455,0.846,0.591,0.51,0.58,1.368,0.432
"71",71,10010246,0.333,0.2,0.667,0.8,0.517,0.345,0.824,0.655
"72",72,10010247,0.2,0.167,0.8,0.833,0.682,0.361,0.7,0.639
"73",73,10010248,0.25,0.333,0.75,0.556,0.375,0.593,1.667,0.389
"74",74,10010249,0.447,0.333,0.553,0.619,0.679,0.56,1.118,0.43
"75",75,10010250,0.462,0.667,0.538,0.381,0.619,0.583,0.658,0.417
"76",76,10010251,0.538,0.636,0.423,0.455,0.634,0.461,0.667,0.539
"77",77,10010252,0.611,0.571,0.389,0.429,0.5,0.391,1.2,0.598
"78",78,10010253,0.529,0.5,0.588,0.5,0.515,0.429,0.667,0.558
"79",79,10010254,0.294,0.462,0.765,0.462,0.472,0.324,1.133,0.685
"80",80,10010255,0.615,0.4,0.385,0.6,0.317,0.427,1.333,0.573
"81",81,10010256,0.286,0.5,0.571,0.75,0.28,0.352,1.538,0.648
"82",82,10010257,0,0.533,1,0.333,0.469,0.364,1.417,0.625
"83",83,10010258,0.105,0.437,0.842,0.687,0.452,0.404,1.437,0.596
"84",84,10010259,0.167,0.4,0.833,0.6,0.364,0.33,1.615,0.68
"85",85,10010260,0.143,0.769,0.929,0.154,0.424,0.351,1.25,0.638
"86",86,10010261,0.429,0.5,0.571,0.5,0.467,0.278,1.308,0.722
"87",87,10010262,0.611,0.6,0.417,0.4,0.621,0.611,0.595,0.389
"88",88,10010263,0.187,0.231,0.812,0.769,0.471,0.304,1.214,0.696
"89",89,10010264,0.211,0.214,0.737,0.857,0.452,0.404,1.278,0.596
"90",90,10010265,0.25,0.167,0.75,0.833,0.615,0.257,3.333,0.733
"91",91,10010266,0.133,0.5,0.933,0.571,0.341,0.344,1.933,0.648
"92",92,10010267,0,0.333,1,0.667,0.429,0.11,1.75,0.89
"93",93,10010268,0,0,1,1,0.25,0.154,2,0.827
"94",94,10010269,0.167,0.3,0.833,0.7,0.245,0.261,2.111,0.734
"95",95,10010270,0.263,0.571,0.737,0.429,0.463,0.241,1.75,0.759
"96",96,10010271,0.667,0,0,1e+05,0.429,0.076,1.25,0.924
"97",97,10010272,0,1,0.6,0,0.208,0.195,2.857,0.797
"98",98,10010273,0.222,0.607,0.778,0.393,0.375,0.357,3.933,0.643
"99",99,10010276,0.429,0,0.429,1.333,0.538,0.283,2,0.717
"100",100,10010277,0,0.4,1,0.6,0.4,0.333,1.333,0.667
"101",101,10010278,0,0.8,1,0.2,0.5,0.488,1.667,0.537
"102",102,10010279,0.417,0.5,0.667,0.5,0.324,0.245,1.389,0.755
"103",103,10010280,0,1,1,0,0.2,0.185,3,0.815
"104",104,10010281,0.357,0.222,0.643,0.667,0.56,0.455,0.632,0.545
"105",105,10010282,0,1e+05,0,1e+05,0.1,0.182,3,0.818
"106",106,10010283,0.286,0.316,0.679,0.632,0.315,0.601,2.296,0.399
"107",107,10010284,0.167,0.727,0.917,0.182,0.5,0.329,0.857,0.671
"108",108,10010285,0.182,0.556,0.818,0.444,0.579,0.279,0.615,0.735
"109",109,10010286,0.182,0.9,0.909,0,0.367,0.353,1.462,0.635
"110",110,10010290,0.179,0.542,0.857,0.417,0.437,0.696,0.973,0.304
"111",111,10010294,0.333,0.8,0.833,0,0.261,0.397,2,0.603
"112",112,10010295,0.24,0.778,0.72,0.222,0.543,0.676,1.571,0.309
"113",113,10010296,0.5,0.6,0.5,0.6,0.357,0.359,1.286,0.641
"114",114,10010297,0.556,0.667,0.667,0.333,0.257,0.422,1.316,0.578
"115",115,10010298,0.238,0.824,0.81,0.176,0.6,0.479,1,0.507
"116",116,10010299,0.333,0.812,0.667,0.25,0.522,0.474,0.88,0.515
"117",117,10010300,0.167,0.545,0.917,0.455,0.4,0.455,0.947,0.545
"118",118,10010301,0.444,0.5,0.519,0.571,0.587,0.622,0.731,0.378
"119",119,10010302,0.111,0.706,0.944,0.353,0.419,0.5,1.316,0.488
"120",120,10010303,0.167,0.786,0.778,0.286,0.581,0.574,2,0.426
"121",121,10010304,0.1,0.474,0.95,0.474,0.444,0.446,1.13,0.554
"122",122,10010305,0.2,0.75,0.8,0.333,0.375,0.421,1.412,0.579
"123",123,10010306,0.222,0.571,0.778,0.357,0.391,0.447,1.933,0.553
"124",124,10010307,0,0.444,0.9,0.556,0.476,0.292,2.75,0.694
"125",125,10010308,0.25,1.111,0.75,0,0.3,0.625,1.474,0.359
"126",126,10010309,0.25,0.762,0.75,0.19,0.384,0.537,1.955,0.463
"127",127,10010310,0,1,0.667,0,0.107,0.315,2.778,0.674
"128",128,10010334,0.183,0.255,0.817,0.74,0.503,0.755,1.197,0.247
"129",129,10010337,0.2,0.519,0.771,0.519,0.402,0.478,1.559,0.516
"130",130,10010338,0.227,0.312,0.727,0.687,0.431,0.515,1.25,0.485
"131",131,10010339,0,0.222,0.9,0.778,0.526,0.271,4,0.743
"132",132,10010340,0.643,0.5,0.286,0.75,0.437,0.333,1.308,0.667
"133",133,10010341,0.182,0.889,0.818,0.222,0.611,0.281,0.875,0.734
"134",134,10010342,0.615,0.75,0.308,0.5,0.481,0.303,0.933,0.697
"135",135,10010343,0,0,1,1,0.333,0.246,1.667,0.754
"136",136,10010344,0.463,0.833,0.556,0.133,0.5,0.584,1.862,0.411
"137",137,10010345,0.4,0.526,0.633,0.474,0.638,0.29,1.308,0.71
"138",138,10010346,0.5,0,0.75,1,0.182,0.275,2.571,0.712
"139",139,10010348,0.129,0.259,0.871,0.704,0.31,0.408,2.194,0.596
"140",140,10010356,0,0.333,1,0.6,0.417,0.333,1.4,0.667
"141",141,10010357,0.6,0.25,0.4,0.875,0.87,0.319,0.5,0.694
"142",142,10010457,0,0,0.9,1,0.37,0.314,4.25,0.686
"143",143,10010458,0.235,0.286,0.824,0.786,0.395,0.413,1.529,0.587
"144",144,10010459,0.4,0,0.8,0.5,0.167,0.316,2,0.695
"145",145,10010460,0.143,0.667,0.857,0.333,0.5,0.289,1.167,0.701
"146",146,10010461,0,1,0.667,0,0.25,0.164,5,0.836
"147",147,10010482,0,0.8,1,0.2,0.476,0.429,1,0.571
"148",148,10010484,0.324,0.32,0.676,0.64,0.457,0.5,1.128,0.506
"149",149,10010485,0,0.875,1,0.125,0.471,0.354,1.214,0.646
"150",150,10010486,0.244,0.514,0.778,0.429,0.562,0.349,0.895,0.651
"151",151,10010488,0.154,0.4,0.769,0.7,0.333,0.382,3.25,0.627
"152",152,10010489,0.4,0.286,0.7,0.714,0.476,0.304,1.571,0.696
"153",153,10010490,0.5,0.5,0.5,0,0.348,0.343,1.875,0.672
"154",154,10010491,0,0.296,1,0.704,0.27,0.508,2.387,0.492
"155",155,10010492,0,0.375,1.143,0.625,0.171,0.363,3.778,0.628
"156",156,10010493,0.4,0.5,0.8,0.5,0.167,0.417,2.6,0.583
"157",157,10010494,0,0.5,1.2,0.333,0.263,0.26,6.5,0.74
"158",158,10010495,0.429,0,0.571,1,0.269,0.382,1.462,0.618
"159",159,10010496,0,0.375,1,0.5,0.8,0.118,0.5,0.882
"160",160,10010497,0,0,1.125,0.889,0.727,0.125,0.6,0.875
"161",161,10010498,0,0,1,1.1,0.833,0.121,0.4,0.879
"162",162,10010499,0,0.833,0.857,0.333,0.778,0.237,1e+05,0.763
"163",163,10010500,0,0.125,1.067,0.812,0.833,0.145,0.154,0.863
"164",164,10010501,0,0.667,1,0.667,0.5,0.088,2e+05,0.912
"165",165,10010502,0,0.667,1.2,0,0.5,0.161,2,0.839
"166",166,10010503,0,0,0.833,0.8,0.857,0.156,1,0.822
"167",167,10010504,0,0.4,1,0.6,1,0.123,0,0.864
"168",168,10010505,0,0,1,0.889,0.818,0.09,1e+05,0.91
"169",169,10010506,0,0,1,0.889,0.692,0.146,0.444,0.843
"170",170,10010507,0,0.6,1,0.4,0.5,0.357,1.5,0.643
"171",171,10010508,0,0.158,1,0.842,0.704,0.307,4e+05,0.693
"172",172,10010509,0,0.364,1,0.545,0.733,0.17,0.444,0.83
"173",173,10010510,0,0,1,0.8,0.294,0.283,1.375,0.717
"174",174,10010511,0.2,0.375,0.8,0.625,0.556,0.237,1.6,0.776
"175",175,10010512,0,0.273,0.917,0.727,0.667,0.168,1.75,0.841
"176",176,10010513,0,0,1,0.778,0.409,0.301,650000,0.712
"177",177,10010514,0,0.2,0.833,0.9,0.462,0.333,1.167,0.667
"178",178,10010515,0,0.118,1,0.882,0.5,0.301,1,0.699
"179",179,10010516,0,0.583,1,0.5,0.632,0.26,0.636,0.74
"180",180,10010517,0,0.286,1.077,0.643,0.684,0.161,0.667,0.847
"181",181,10010518,0,0.333,1,0.611,0.581,0.301,1.273,0.699
"182",182,10010519,0,0.133,0.937,0.933,0.8,0.233,0.556,0.767
"183",183,10010520,0,0.412,1.062,0.588,0.842,0.358,0.25,0.642
"184",184,10010521,0,0.437,1,0.562,0.762,0.244,0.833,0.756
"185",185,10010522,0,0.667,1,0.667,0.333,0.103,3.5,0.897
"186",186,10010523,0,0.444,1,0.444,0.5,0.198,2.25,0.802
"187",187,10010524,0,0.778,1,0.333,0.474,0.25,4.5,0.75
"188",188,10010525,0,0.667,1.2,0.333,0.417,0.146,2.5,0.866
"189",189,10010526,0,0.286,0.875,0.857,0.615,0.203,3e+05,0.781
"190",190,10010527,0,0.333,1,1,1,0.066,0,0.934
"191",191,10010528,NA,NA,NA,NA,NA,NA,NA,NA
"192",192,10010529,0.333,0.2,0.667,0.8,0.789,0.229,0.4,0.771
"193",193,10010530,0,0.227,1,0.773,0.786,0.406,1.5,0.594
"194",194,10010531,0,1,1,0,0.333,0.087,250000,0.913
"195",195,10010532,0,0.333,1,0.667,1,0.13,0,0.87
"196",196,10010533,0,0.5,1.091,0.417,0.687,0.2,0.833,0.8
"197",197,10010534,0,0.583,0.923,0.333,1.083,0.141,0,0.847
"198",198,10010535,0,0.214,1,0.786,0.519,0.218,2,0.782
"199",199,10010536,0,0.125,1.043,0.875,0.719,0.281,0.727,0.728
"200",200,10010537,0,0,1,1,0.575,0.286,2.125,0.714
"201",201,10010538,0,0.5,1.143,0.5,0.437,0.172,2,0.839
"202",202,10010539,0.154,0.417,0.923,0.583,0.542,0.258,2.5,0.742
"203",203,10010540,0.098,0.222,0.878,0.778,0.695,0.36,1.636,0.646
"204",204,10010541,0,0,1,1,0.526,0.2,1.6,0.811
"205",205,10010542,0,0.556,1,0.444,0.562,0.158,0.8,0.832
"206",206,10010543,0,0.187,0.941,0.812,0.607,0.267,1.375,0.733
"207",207,10010544,0,0.333,0.9,0.722,0.714,0.259,2.25,0.75
"208",208,10010545,NA,NA,NA,NA,NA,NA,NA,NA
"209",209,10010546,0,0.294,1.062,0.647,0.593,0.262,0.833,0.748
"210",210,10010547,0,0.417,1,0.556,0.8,0.292,0.714,0.708
"211",211,10010548,0,0.235,1,0.765,0.68,0.258,0.889,0.742
"212",212,10010549,0.059,0.333,0.971,0.636,0.872,0.269,0.455,0.731
"213",213,10010550,0.273,0,0.727,1,1,0.147,0,0.853
"214",214,10010551,0,0.091,1,0.955,0.846,0.351,1,0.649
"215",215,10010552,0,0,1,0.9,0.588,0.262,1,0.738
"216",216,10010553,0,0.5,1,0.667,0.5,0.187,1,0.812
"217",217,10010554,0,0.75,1,0.25,0.8,0.153,0.6,0.847
"218",218,10010555,0,0.2,1,0.7,0.769,0.159,1.5,0.841
"219",219,10010556,0,1,1,0,0.5,0.08,1,0.94
"220",220,10010557,0,0.222,1.125,0.667,0.615,0.224,0.571,0.776
"221",221,10010558,0,0,1,0.75,0.5,0.098,1.25,0.902
"222",222,10010559,0,0,1,0.8,0.833,0.087,0,0.928
"223",223,10010560,0.176,0.286,0.824,0.786,0.773,0.154,0.263,0.846
"224",224,10010561,0,0,0.75,1,0.444,0.237,2.75,0.763
"225",225,10010562,0,0.161,0.969,0.839,0.667,0.407,0.8,0.593
"226",226,10010563,0,0,1,1,0.615,0.155,0.625,0.845
"227",227,10010564,0,0.214,1,0.714,0.778,0.176,0.333,0.833
"228",228,10010565,0.143,0.357,1,0.571,0.824,0.2,0.143,0.812
"229",229,10010566,0,0.6,1,0.4,0.577,0.217,3.333,0.792
"230",230,10010567,0,0,1.032,0.937,0.705,0.407,0.923,0.593
"231",231,10010568,0,0.125,1,0.812,0.5,0.299,1.778,0.701
"232",232,10010569,0,0.524,0.955,0.524,0.667,0.375,2,0.625
"233",233,10010570,0,0.538,1,0.462,0.553,0.416,0.677,0.584
"234",234,10010571,0,0.455,1.1,0.364,0.5,0.225,1.571,0.775
"235",235,10010572,0.024,0.159,0.976,0.829,0.583,0.603,1.356,0.402
"236",236,10010573,0,0.302,1.024,0.698,0.618,0.316,0.893,0.688
"237",237,10010574,0,0.3,1,0.7,0.357,0.341,9,0.659
"238",238,10010575,0,0.182,0.978,0.841,0.584,0.277,1.524,0.719
"239",239,10010576,0,0.441,1,0.559,0.618,0.407,1.538,0.593
"240",240,10010577,0,0.357,1,0.714,0.483,0.319,1.5,0.692
"241",241,10010578,0,0.385,1,0.615,0.394,0.32,2.857,0.68
"242",242,10010579,0,0.437,0.941,0.562,0.459,0.189,1.312,0.806
"243",243,10010580,0,0.375,1,0.5,0.348,0.232,3.75,0.768
"244",244,10010581,0,0.125,0.941,0.875,0.436,0.358,1.571,0.642
"245",245,10010582,0,0.286,1.167,0.714,0.261,0.202,2.429,0.798
"246",246,10010583,0,0.222,0.947,0.833,0.487,0.325,1.538,0.683
"247",247,10010584,0,0.222,1,0.778,0.474,0.197,1,0.798
"248",248,10010585,0,0,1,0.875,0.364,0.214,1.75,0.786
"249",249,10010586,0,0.5,1,0.5,0.387,0.292,1.125,0.708
"250",250,10010587,0.25,0.286,0.875,0.571,0.571,0.269,1.4,0.712
"251",251,10010588,0,0.3,0.833,0.8,0.462,0.21,0.684,0.798
"252",252,10010589,0.105,0.4,0.921,0.6,0.514,0.335,2.769,0.665
"253",253,10010590,0.077,0.375,0.923,0.542,0.591,0.367,1,0.633
"254",254,10010591,0,0.533,0.937,0.533,0.552,0.228,1.75,0.772
"255",255,10010592,0,0.125,1.067,0.937,0.429,0.333,1.583,0.676
"256",256,10010593,0.13,0.211,0.826,0.789,0.59,0.368,1.062,0.623
"257",257,10010594,0,0.5,1,0.5,0.471,0.198,4,0.814
"258",258,10010595,0,0,1,1.053,0.704,0.325,1.143,0.675
"259",259,10010596,0,0.583,1,0.417,0.522,0.232,1.429,0.768
"260",260,10010597,0.2,0.75,0.8,0.375,0.909,0.118,0,0.892
"261",261,10010598,0,0.167,1,0.833,0.581,0.263,3.25,0.746
"262",262,10010599,0,0.409,0.957,0.545,0.719,0.241,0.75,0.767
"263",263,10010600,0,0.174,1,0.826,0.5,0.383,4.6,0.617
"264",264,10010601,0,0.273,1,0.727,0.458,0.3,1.857,0.7
"265",265,10010602,0.07,0.325,0.93,0.675,0.623,0.335,1.13,0.66
"266",266,10010603,0,0.385,1,0.615,0.317,0.398,2.071,0.583
"267",267,10010604,0,0,1,0.667,0.167,0.186,2.333,0.804
"268",268,10010605,0,0.182,1,0.818,0.458,0.276,4.333,0.724
"269",269,10010606,0.029,0.246,0.978,0.754,0.578,0.478,1.623,0.524
"270",270,10010607,0,0.18,0.984,0.836,0.602,0.488,1.464,0.507
"271",271,10010608,0.019,0.216,0.99,0.775,0.536,0.481,1.725,0.519
"272",272,10010609,0,0.277,0.959,0.745,0.495,0.553,1.594,0.447
"273",273,10010610,0,0.074,1,0.926,0.574,0.49,1.429,0.51
"274",274,10010611,0,0,0,0,0,0.105,150000,0.895
"275",275,10010614,0,0.187,1,0.75,0.667,0.324,1.4,0.689
"276",276,10010615,0,0.098,1,0.902,0.603,0.338,2.154,0.657
"277",277,10010616,0,0,0.875,1.143,0.308,0.356,1.385,0.63
"278",278,10010617,0.073,0.108,0.927,0.892,0.502,0.418,1.703,0.582
"279",279,10010618,0,0.318,1,0.727,0.579,0.319,1.6,0.681
"280",280,10010619,0.316,0.25,0.632,0.75,0.704,0.273,0.9,0.717
"281",281,10010620,0.071,0.079,0.905,0.921,0.592,0.617,2.417,0.383
"282",282,10010621,0.091,0.267,0.909,0.733,0.589,0.56,1.353,0.44
"283",283,10010622,0,0.3,1,0.8,0.256,0.355,3.625,0.645
"284",284,10010623,0,0.222,1,0.778,0.474,0.322,1.727,0.678
"285",285,10010624,0,0.154,1.083,0.846,0.571,0.256,1.125,0.744
"286",286,10010625,0,0,1.1,0.909,0.417,0.316,2.333,0.684
"287",287,10010626,0.182,0,0.818,0.889,0.458,0.289,1.3,0.711
"288",288,10010627,0,0.545,1,0.545,0.367,0.345,1.8,0.655
"289",289,10010628,0,0,1,1,0.667,0.15,0.833,0.85
"290",290,10010629,0.091,0.409,1,0.591,0.333,0.306,1.72,0.69
"291",291,10010630,0,0,1,1,0.583,0.167,1,0.833
"292",292,10010631,0.25,0,1,0.875,0.5,0.421,1.333,0.526
"293",293,10010632,0,0.278,1.059,0.722,0.472,0.225,1.187,0.775
"294",294,10010633,0,0.667,0.923,0.417,0.342,0.288,2.273,0.72
"295",295,10010634,0,0.412,0.944,0.647,0.383,0.281,2.231,0.719
"296",296,10010635,0,0.3,1,0.7,0.476,0.304,1.833,0.71
"297",297,10010636,0.15,0.353,0.85,0.647,0.5,0.274,1.053,0.726
"298",298,10010637,0.167,0.143,0.778,1,0.391,0.351,2.333,0.649
"299",299,10010638,0,0.5,1,0.375,0.8,0.118,1.5,0.882
"300",300,10010639,0.143,0.154,0.929,0.769,0.467,0.417,8.5,0.583
"301",301,10010640,0,0,0.875,1,0.5,0.239,1.8,0.746
"302",302,10010641,0,0.444,1.125,0.556,0.5,0.25,2,0.766
"303",303,10010642,0,0,0.8,1,0.208,0.242,1.9,0.768
"304",304,10010643,0.08,0,0.96,0.958,0.658,0.373,0.765,0.618
"305",305,10010644,0.047,0.286,0.977,0.714,0.336,0.574,2.966,0.426
"306",306,10010645,0.286,0,0.857,0.833,0.368,0.237,4,0.762
"307",307,10010646,0.211,0.312,0.842,0.625,0.576,0.264,1,0.736
"308",308,10010647,0,0.167,1,0.833,0.632,0.247,1.167,0.753
"309",309,10010648,0,0,1,1,0.273,0.18,1.167,0.852
"310",310,10010649,0,0.25,1.143,0.625,0.636,0.196,1,0.821
"311",311,10010650,0,0.286,1,0.571,0.778,0.123,0.333,0.877
"312",312,10010651,0.102,0.151,0.898,0.849,0.522,0.481,1.102,0.519
"313",313,10010652,0.136,0.15,0.909,0.85,0.478,0.517,1.786,0.483
"314",314,10010653,0.094,0.179,0.875,0.857,0.525,0.418,1.115,0.575
"315",315,10010654,0,0.333,1,0.667,0.706,0.16,0.833,0.84
"316",316,10010655,0,0.2,1.111,0.8,0.643,0.25,1.25,0.768
"317",317,10010656,0,0,1,1,0.52,0.179,2.333,0.814
"318",318,10010657,0,0,1,1,0.526,0.253,3.333,0.747
"319",319,10010658,0,0.375,0.8,0.625,0.455,0.324,1.091,0.691
"320",320,10010659,0,0,0.9,1,0.435,0.348,650000,0.667
"321",321,10010660,0,0,1,1,0.571,0.206,1,0.824
"322",322,10010661,0.294,0.231,0.765,0.692,0.288,0.25,1.708,0.75
"323",323,10010662,0,0.286,1,0.857,0.467,0.208,1.6,0.792
"324",324,10010663,0,0.667,1.125,0,0.889,0.145,1,0.871
"325",325,10010664,0,0,0,0,0,0.068,0.75,0.932
"326",326,10010666,0,0,1,1,0.1,0.256,2.6,0.735
"327",327,10010667,0,0.1,1,0.833,0.566,0.477,4,0.523
"328",328,10010668,0,0,0,0,0.222,0.078,0.727,0.913
"329",329,10010669,0,0.429,1,0.714,0.233,0.236,5.75,0.764
"330",330,10010670,0,0.5,1,0.5,0.25,0.211,2,0.798
"331",331,10010671,0,0.32,1,0.68,0.301,0.48,3.353,0.526
"332",332,10010672,0,1,0.857,0,0.35,0.247,6.5,0.753
"333",333,10010673,0,0.667,1,0.667,0.273,0.19,2,0.828
"334",334,10010674,0,0,1,1.167,0.24,0.338,2.25,0.676
"335",335,10010675,0,0.308,1,0.692,0.394,0.32,5.25,0.68
"336",336,10010676,0,0,0,0,0.222,0.095,4e+05,0.905
"337",337,10010677,0.167,0.2,0.833,0.9,0.5,0.279,4,0.721
"338",338,10010678,0.2,0.222,0.9,0.889,0.357,0.248,6,0.761
"339",339,10010679,0.095,0.476,1,0.524,0.7,0.208,0.769,0.792
"340",340,10010680,0,0,1,1,0.556,0.474,2,0.526
"341",341,10010681,0.176,0.143,0.824,0.857,0.548,0.258,2,0.742
"342",342,10010682,NA,NA,NA,NA,NA,NA,NA,NA
"343",343,10010683,0,0.2,1,0.76,0.758,0.212,4,0.782
"344",344,10010684,0.161,0.2,0.806,0.8,0.838,0.308,0.545,0.692
"345",345,10010685,0,0.219,1,0.767,0.869,0.414,0.423,0.586
"346",346,10010686,0,0.6,1.071,0.4,0.933,0.181,0,0.819
"347",347,10010687,0,0,1,1,1,0.091,0,0.909
"348",348,10010688,0,0,1,1,0.222,0.243,1.857,0.784
"349",349,10010689,0,0.075,1,0.95,0.727,0.35,1.364,0.643
"350",350,10010690,0,0.2,1,1,1,0.323,0,0.645
"351",351,10010691,0,0.588,1,0.412,0.739,0.253,1,0.758
"352",352,10010692,0,0.111,1,0.944,0.818,0.19,0.444,0.802
"353",353,10010693,NA,NA,NA,NA,NA,NA,NA,NA
"354",354,10010694,0,0.5,1,0.5,0.909,0.136,1,0.864
"355",355,10010695,0.214,0.364,0.786,0.727,0.7,0.198,0.462,0.812
"356",356,10010696,0,0.182,1,0.818,0.733,0.172,0.571,0.828
"357",357,10010697,0,0.158,1.056,0.789,0.514,0.34,1.143,0.67
"358",358,10010698,0,0.353,1,0.647,0.5,0.374,2.571,0.637
"359",359,10010699,0,0.286,1,0.857,0.412,0.159,3,0.841
"360",360,10010700,0,0.273,0.917,0.727,0.923,0.191,0,0.824
"361",361,10010701,0,0,1,0.714,0.636,0.177,0.833,0.823
"362",362,10010702,0,0.25,0.952,0.75,0.75,0.231,1.167,0.769
"363",363,10010703,0,0.75,1,0.5,0.667,0.182,1e+05,0.818
"364",364,10010704,0,0.571,0.875,0.286,1,0.131,0.667,0.869
"365",365,10010705,0,0.6,1,0.4,0.714,0.184,0.667,0.816
"366",366,10010706,0.125,0.467,0.937,0.533,0.727,0.177,0.6,0.823
"367",367,10010707,0.118,0.267,0.882,0.8,0.85,0.189,0.6,0.811
